date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:39	345/345	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:47:18%20GMT	https://msrit.edu/robots.txt		(from )
16:16:40	79697/79697	---MCZ	200	added ('OK')	text/html	etag:W/%22349d171ef62371cf2a1cf745c0c142ae%22	https://msrit.edu/	/root/websites/msrit/msrit.edu/index.html	(from )
16:16:41	99561/99561	---MCZ	200	added ('OK')	text/css	etag:W/%220f6a6217a1b86fc571de0e9b49727dc3%22	https://msrit.edu/css/bootstrap.min.css	/root/websites/msrit/msrit.edu/css/bootstrap.min.css	(from https://msrit.edu/)
16:16:42	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2204425bbdc6243fc6e54bf8984fe50330%22	https://msrit.edu/css/font-awesome.min.css	/root/websites/msrit/msrit.edu/css/font-awesome.min.css	(from https://msrit.edu/)
16:16:43	3684/3684	---MCZ	200	added ('OK')	text/css	etag:W/%22b4fe2820a582082c1c12ffaa7a82d3c2%22	https://msrit.edu/css/superfish.css	/root/websites/msrit/msrit.edu/css/superfish.css	(from https://msrit.edu/)
16:16:44	5925/5925	---MCZ	200	added ('OK')	text/css	etag:W/%221a152f765c4a9f30f0a347df2b17c448%22	https://msrit.edu/css/owl.carousel.css	/root/websites/msrit/msrit.edu/css/owl.carousel.css	(from https://msrit.edu/)
16:16:45	1674/1674	---MCZ	200	added ('OK')	text/css	etag:W/%2215e6f3977d98e6f51139ae349207df7a%22	https://msrit.edu/css/owl.theme.css	/root/websites/msrit/msrit.edu/css/owl.theme.css	(from https://msrit.edu/)
16:16:46	1270/1270	---MCZ	200	added ('OK')	text/css	etag:W/%22020a721addb7f1bb04f3e02be2f006be%22	https://msrit.edu/css/jquery.navgoco.css	/root/websites/msrit/msrit.edu/css/jquery.navgoco.css	(from https://msrit.edu/)
16:16:47	310598/310598	---MCZ	200	added ('OK')	text/css	etag:W/%22b2ec38c41c7a22e4bbcf1352f81cbd04%22	https://msrit.edu/style.css	/root/websites/msrit/msrit.edu/style.css	(from https://msrit.edu/)
16:16:48	10513/10513	---MCZ	200	added ('OK')	text/css	etag:W/%2299aa2e17f317ea30b93bfedd34eed7bc%22	https://msrit.edu/custom.css	/root/websites/msrit/msrit.edu/custom.css	(from https://msrit.edu/)
16:16:49	43655/43655	---MCZ	200	added ('OK')	text/css	etag:W/%22a8308913239b4dc0b9c59adcf6e43b9f%22	https://msrit.edu/css/responsive.css	/root/websites/msrit/msrit.edu/css/responsive.css	(from https://msrit.edu/)
16:16:50	8287/8287	---MCZ	200	added ('OK')	text/css	etag:W/%22867168ca567d9ab177f2597a3465d9e4%22	https://msrit.edu/css/modified.css	/root/websites/msrit/msrit.edu/css/modified.css	(from https://msrit.edu/)
16:16:51	7787/7787	---MCZ	200	added ('OK')	text/css	etag:W/%22c0952ea0dd3632749fa3b513266ff977%22	https://msrit.edu/css/magnific-popup.css	/root/websites/msrit/msrit.edu/css/magnific-popup.css	(from https://msrit.edu/)
16:16:52	33180/33180	---MCZ	200	added ('OK')	text/css	etag:W/%22e82cb825e591d2bfded9cfb918bd5a14%22	https://msrit.edu/css/jquery-ui-1.10.3.custom.css	/root/websites/msrit/msrit.edu/css/jquery-ui-1.10.3.custom.css	(from https://msrit.edu/)
16:16:53	9981/9981	---MCZ	200	added ('OK')	application/javascript	etag:W/%2295cd6418f2aefc057650f376e2c3b230%22	https://msrit.edu/js/modernizr.custom.js	/root/websites/msrit/msrit.edu/js/modernizr.custom.js	(from https://msrit.edu/)
16:16:54	370070/370070	---M--	200	added ('OK')	image/x-icon	etag:%2211515374825f831e6be20f47c99088d2%22	https://msrit.edu/img/favicon.ico	/root/websites/msrit/msrit.edu/img/favicon.ico	(from https://msrit.edu/)
16:16:54	359/359	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:47:33%20GMT	https://msrit.edu/img/apple-touch-icon.png	/root/websites/msrit/msrit.edu/img/apple-touch-icon.png	(from https://msrit.edu/)
16:16:55	365/365	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:47:33%20GMT	https://msrit.edu/img/apple-touch-icon-72x72.png	/root/websites/msrit/msrit.edu/img/apple-touch-icon-72x72.png	(from https://msrit.edu/)
16:16:56	367/367	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:47:34%20GMT	https://msrit.edu/img/apple-touch-icon-114x114.png	/root/websites/msrit/msrit.edu/img/apple-touch-icon-114x114.png	(from https://msrit.edu/)
16:16:58	322100/322100	---M--	200	added ('OK')	image/jpeg	etag:%220c9e93c1372648263460b9b4c0d88338%22	https://msrit.edu/msr100.jpeg	/root/websites/msrit/msrit.edu/msr100.jpg	(from https://msrit.edu/)
16:16:59	78365/78365	---MCZ	200	added ('OK')	text/html	etag:W/%2235bda38c2b0037da3e0fce8981269281%22	https://msrit.edu/admissions.html	/root/websites/msrit/msrit.edu/admissions.html	(from https://msrit.edu/)
16:17:00	79697/79697	---MCZ	200	added ('OK')	text/html	etag:W/%22349d171ef62371cf2a1cf745c0c142ae%22	https://msrit.edu/index.html	/root/websites/msrit/msrit.edu/index-2.html	(from https://msrit.edu/)
16:17:00	349/349	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:47:39%20GMT	https://msrit.edu/centuriton.com	/root/websites/msrit/msrit.edu/centuriton.com	(from https://msrit.edu/)
16:17:02	8609/8609	---MCZ	200	added ('OK')	text/html	etag:W/%2222c9ae149c24c01ec731b4288d9437f7%22	https://msrit.edu/news.html	/root/websites/msrit/msrit.edu/news.html	(from https://msrit.edu/)
16:17:03	8786/8786	---MCZ	200	added ('OK')	text/html	etag:W/%2256734319a3fbcc671907e3044b75873a%22	https://msrit.edu/events.html	/root/websites/msrit/msrit.edu/events.html	(from https://msrit.edu/)
16:17:04	23513/23513	---MCZ	200	added ('OK')	text/html	etag:W/%22136880e60b2b4072927d5a8d98c88f19%22	https://msrit.edu/governance.html	/root/websites/msrit/msrit.edu/governance.html	(from https://msrit.edu/)
16:17:04	882/882	---M--	200	added ('OK')	image/png	etag:%22118cd016cdaab1be5b6d6a55f177570f%22	https://msrit.edu/images/icons/circle.png	/root/websites/msrit/msrit.edu/images/icons/circle.png	(from https://msrit.edu/)
16:17:06	22738/22738	---MCZ	200	added ('OK')	text/html	etag:W/%225fec924b3b3ed0d4975189cdf772ee92%22	https://msrit.edu/support/proctorial-system.html	/root/websites/msrit/msrit.edu/support/proctorial-system.html	(from https://msrit.edu/)
16:17:06	799/799	---M--	200	added ('OK')	image/png	etag:%2222a6a448819f58dd252d3ae63556f960%22	https://msrit.edu/images/icons/explore.png	/root/websites/msrit/msrit.edu/images/icons/explore.png	(from https://msrit.edu/)
16:17:07	1094/1094	---M--	200	added ('OK')	image/png	etag:%2218c9c7f59f7d5f3a3b0b5458211f4869%22	https://msrit.edu/images/icons/apply.png	/root/websites/msrit/msrit.edu/images/icons/apply.png	(from https://msrit.edu/)
16:17:08	53765/53765	---MCZ	200	added ('OK')	text/html	etag:W/%226ef88adaa5b109fba4134d53b8d5be21%22	https://msrit.edu/placement.html	/root/websites/msrit/msrit.edu/placement.html	(from https://msrit.edu/)
16:17:09	1573/1573	---M--	200	added ('OK')	image/png	etag:%22c9a111ea44d50960176ff8e304862d10%22	https://msrit.edu/images/icons/placement.png	/root/websites/msrit/msrit.edu/images/icons/placement.png	(from https://msrit.edu/)
16:17:11	29691/29691	---MCZ	200	added ('OK')	text/html	etag:W/%2257da14c6202e7ce4cee96b4bda5b2d56%22	https://msrit.edu/examination.html	/root/websites/msrit/msrit.edu/examination.html	(from https://msrit.edu/)
16:17:11	730/730	---M--	200	added ('OK')	image/png	etag:%227a50470718a5f83ca798019af282f643%22	https://msrit.edu/images/icons/academics.png	/root/websites/msrit/msrit.edu/images/icons/academics.png	(from https://msrit.edu/)
16:17:13	95786/95786	---MCZ	200	added ('OK')	application/javascript	etag:W/%228101d596b2b8fa35fe3a634ea342d7c3%22	https://msrit.edu/js/jquery-1.11.1.min.js	/root/websites/msrit/msrit.edu/js/jquery-1.11.1.min.js	(from https://msrit.edu/)
16:17:14	32848/32848	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a4eaa754854d0087e112ef7a4ac64471%22	https://msrit.edu/js/bootstrap.min.js	/root/websites/msrit/msrit.edu/js/bootstrap.min.js	(from https://msrit.edu/)
16:17:15	29399/29399	---MCZ	200	added ('OK')	application/javascript	etag:W/%22317983309869bbc6f695bbd7b90988c7%22	https://msrit.edu/js/custom.js	/root/websites/msrit/msrit.edu/js/custom.js	(from https://msrit.edu/)
16:17:16	55876/55876	---MCZ	200	added ('OK')	application/javascript	etag:W/%2295463973256ed63dd1215f6caabb3359%22	https://msrit.edu/js/nav-footer.js	/root/websites/msrit/msrit.edu/js/nav-footer.js	(from https://msrit.edu/)
16:17:17	83828/83828	---MCZ	200	added ('OK')	application/javascript	etag:W/%229510117e7fd84543e15e775147b90be1%22	https://msrit.edu/js/sheetrock.js	/root/websites/msrit/msrit.edu/js/sheetrock.js	(from https://msrit.edu/)
16:17:18	6627/6627	---MCZ	200	added ('OK')	application/javascript	etag:W/%2277c960ade79c84e7c81a2dd4cc8942bd%22	https://msrit.edu/js/events.js	/root/websites/msrit/msrit.edu/js/events.js	(from https://msrit.edu/)
16:17:19	13206/13206	---MCZ	200	added ('OK')	application/javascript	etag:W/%228ce872357462ced331b0bae1df721237%22	https://msrit.edu/js/index-gallery.js	/root/websites/msrit/msrit.edu/js/index-gallery.js	(from https://msrit.edu/)
16:17:20	3000/3000	---MCZ	200	added ('OK')	application/javascript	etag:W/%22feb76a67a6e5ac66ea70a5812f162215%22	https://msrit.edu/js/virtual-tour.js	/root/websites/msrit/msrit.edu/js/virtual-tour.js	(from https://msrit.edu/)
16:17:20	353/353	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202022%2010:47:58%20GMT	https://msrit.edu/MSRITdata/MSRIT.js	/root/websites/msrit/msrit.edu/MSRITdata/MSRIT.js	(from https://msrit.edu/)
